TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-14 14:00:00.001172+00:00,3322,160
2024-05-14 14:00:00.367777+00:00,416,6
2024-05-14 14:00:00.381003+00:00,838,18
2024-05-14 14:00:00.385049+00:00,4230,100
2024-05-14 14:00:00.386902+00:00,106,106
2024-05-14 14:00:00.399057+00:00,3680,22
2024-05-14 14:00:00.399346+00:00,5902,390
2024-05-14 14:00:00.840054+00:00,1242,68
2024-05-14 14:00:00.859927+00:00,524,84
2024-05-14 14:00:00.932058+00:00,1234,72
2024-05-14 14:00:00.936954+00:00,5398,850
2024-05-14 14:00:02.555065+00:00,5066,26
2024-05-14 14:00:02.572218+00:00,550,212
2024-05-14 14:00:02.621994+00:00,480,104
2024-05-14 14:00:02.625360+00:00,4098,360
2024-05-14 14:00:02.639793+00:00,1664,20
2024-05-14 14:00:02.643210+00:00,2716,900
2024-05-14 14:00:02.760136+00:00,468,110
2024-05-14 14:00:03.257267+00:00,698,16
2024-05-14 14:00:03.340703+00:00,3404,6
2024-05-14 14:00:04.320124+00:00,5494,740
2024-05-14 14:00:04.331990+00:00,10698,6
2024-05-14 14:00:04.335356+00:00,3668,34
2024-05-14 14:00:04.338246+00:00,6990,1152
2024-05-14 14:00:04.340354+00:00,1116,34
2024-05-14 14:00:04.399208+00:00,578,104
2024-05-14 14:00:04.413896+00:00,620,92
2024-05-14 14:00:04.420458+00:00,3730,6
2024-05-14 14:00:04.425881+00:00,1248,14
2024-05-14 14:00:04.429740+00:00,3020,6
2024-05-14 14:00:04.432477+00:00,902,12
2024-05-14 14:00:04.451721+00:00,10676,1540
2024-05-14 14:00:04.452741+00:00,3844,20
2024-05-14 14:00:04.458946+00:00,12788,40
2024-05-14 14:00:04.463655+00:00,1104,38
2024-05-14 14:00:04.466630+00:00,1336,74
2024-05-14 14:00:04.475028+00:00,4210,224
2024-05-14 14:00:04.991029+00:00,1112,42
2024-05-14 14:00:05.102141+00:00,4694,1106
2024-05-14 14:00:05.107632+00:00,1222,66
2024-05-14 14:00:05.115146+00:00,284,254
2024-05-14 14:00:06.828066+00:00,1096,38
2024-05-14 14:00:06.877111+00:00,5546,416
2024-05-14 14:00:06.879304+00:00,1192,54
2024-05-14 14:00:07.024348+00:00,3260,144
2024-05-14 14:00:07.525746+00:00,3644,6
2024-05-14 14:00:07.529095+00:00,2470,400
2024-05-14 14:00:07.535300+00:00,2676,102
2024-05-14 14:00:07.579313+00:00,5136,62
2024-05-14 14:00:08.533047+00:00,4936,500
2024-05-14 14:00:08.543264+00:00,488,108
2024-05-14 14:00:08.564174+00:00,754,16
2024-05-14 14:00:08.600945+00:00,230,90
2024-05-14 14:00:08.606011+00:00,3658,438
2024-05-14 14:00:08.613270+00:00,262,102
2024-05-14 14:00:08.615140+00:00,1412,40
2024-05-14 14:00:09.260375+00:00,532,96
2024-05-14 14:00:09.261054999+00:00,752,100
2024-05-14 14:00:09.312616+00:00,1252,18
2024-05-14 14:00:11.041023+00:00,1162,20
2024-05-14 14:00:11.066268+00:00,1116,48
2024-05-14 14:00:11.075805+00:00,684,118
2024-05-14 14:00:11.077709+00:00,2346,6
2024-05-14 14:00:11.293388+00:00,3702,28
2024-05-14 14:00:11.296448+00:00,9130,794
2024-05-14 14:00:11.312632+00:00,11186,122
2024-05-14 14:00:11.323818+00:00,3644,804
2024-05-14 14:00:11.769405+00:00,1108,36
2024-05-14 14:00:12.689836+00:00,3308,20
2024-05-14 14:00:12.698404+00:00,8276,148
2024-05-14 14:00:12.806473+00:00,4830,1012
