TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-14 14:00:00.001172+00:00,1661,80
2024-05-14 14:00:00.863772+00:00,208,3
2024-05-14 14:00:00.894892+00:00,419,9
2024-05-14 14:00:00.904412+00:00,2115,50
2024-05-14 14:00:00.908772+00:00,53,53
2024-05-14 14:00:00.937372+00:00,1840,11
2024-05-14 14:00:00.938052+00:00,2951,195
2024-05-14 14:00:01.975012+00:00,621,34
2024-05-14 14:00:02.021772+00:00,262,42
2024-05-14 14:00:02.191492+00:00,617,36
2024-05-14 14:00:02.203012+00:00,2699,425
2024-05-14 14:00:06.010332+00:00,2533,13
2024-05-14 14:00:06.050692+00:00,275,106
2024-05-14 14:00:06.167812+00:00,240,52
2024-05-14 14:00:06.175732+00:00,2049,180
2024-05-14 14:00:06.209692+00:00,832,10
2024-05-14 14:00:06.217732+00:00,1358,450
2024-05-14 14:00:06.492852+00:00,234,55
2024-05-14 14:00:07.662572+00:00,349,8
2024-05-14 14:00:07.858892+00:00,1702,3
2024-05-14 14:00:10.163412+00:00,2747,370
2024-05-14 14:00:10.191332+00:00,5349,3
2024-05-14 14:00:10.199252+00:00,1834,17
2024-05-14 14:00:10.206052+00:00,3495,576
2024-05-14 14:00:10.211012+00:00,558,17
2024-05-14 14:00:10.349492+00:00,289,52
2024-05-14 14:00:10.384052+00:00,310,46
2024-05-14 14:00:10.399492+00:00,1865,3
2024-05-14 14:00:10.412252+00:00,624,7
2024-05-14 14:00:10.421332+00:00,1510,3
2024-05-14 14:00:10.427772+00:00,451,6
2024-05-14 14:00:10.473052+00:00,5338,770
2024-05-14 14:00:10.475452+00:00,1922,10
2024-05-14 14:00:10.490052+00:00,6394,20
2024-05-14 14:00:10.501132+00:00,552,19
2024-05-14 14:00:10.508131999+00:00,668,37
2024-05-14 14:00:10.527891999+00:00,2105,112
2024-05-14 14:00:11.742012+00:00,556,21
2024-05-14 14:00:12.003452+00:00,2347,553
2024-05-14 14:00:12.016372+00:00,611,33
2024-05-14 14:00:12.034052+00:00,142,127
2024-05-14 14:00:16.064452+00:00,548,19
2024-05-14 14:00:16.179852+00:00,2773,208
2024-05-14 14:00:16.185012+00:00,596,27
2024-05-14 14:00:16.526292+00:00,1630,72
2024-05-14 14:00:17.706052+00:00,1822,3
2024-05-14 14:00:17.713932+00:00,1235,200
2024-05-14 14:00:17.728532+00:00,1338,51
2024-05-14 14:00:17.832092+00:00,2568,31
2024-05-14 14:00:20.076172+00:00,2468,250
2024-05-14 14:00:20.100212+00:00,244,54
2024-05-14 14:00:20.149412+00:00,377,8
2024-05-14 14:00:20.235932+00:00,115,45
2024-05-14 14:00:20.247852+00:00,1829,219
2024-05-14 14:00:20.264932+00:00,131,51
2024-05-14 14:00:20.269332+00:00,706,20
2024-05-14 14:00:21.787532+00:00,266,48
2024-05-14 14:00:21.789132+00:00,376,50
2024-05-14 14:00:21.910452+00:00,626,9
2024-05-14 14:00:25.977292+00:00,581,10
2024-05-14 14:00:26.036692+00:00,558,24
2024-05-14 14:00:26.059132+00:00,342,59
2024-05-14 14:00:26.063612+00:00,1173,3
2024-05-14 14:00:26.571092+00:00,1851,14
2024-05-14 14:00:26.578292+00:00,4565,397
2024-05-14 14:00:26.616372+00:00,5593,61
2024-05-14 14:00:26.642692+00:00,1822,402
2024-05-14 14:00:27.691132+00:00,554,18
2024-05-14 14:00:29.856852+00:00,1654,10
2024-05-14 14:00:29.877012+00:00,4138,74
2024-05-14 14:00:30.131292+00:00,2415,506
2024-05-14 14:00:30.142692+00:00,3780,598
2024-05-14 14:00:30.147692+00:00,2955,222
2024-05-14 14:00:30.184892+00:00,2221,62
2024-05-14 14:00:30.185572+00:00,404,42
2024-05-14 14:00:31.528572+00:00,558,19
2024-05-14 14:00:31.541092+00:00,752,51
2024-05-14 14:00:31.581772+00:00,554,20
2024-05-14 14:00:35.969852+00:00,427,39
2024-05-14 14:00:36.006332+00:00,2456,201
2024-05-14 14:00:36.519692+00:00,557,45
2024-05-14 14:00:36.572772+00:00,1928,318
2024-05-14 14:00:40.019652+00:00,2301,214
2024-05-14 14:00:40.026452+00:00,93,47
2024-05-14 14:00:40.061172+00:00,2827,19
2024-05-14 14:00:40.067731999+00:00,1851,3
2024-05-14 14:00:40.082892+00:00,562,24
2024-05-14 14:00:40.091172+00:00,405,52
2024-05-14 14:00:40.440732+00:00,592,24
2024-05-14 14:00:40.570492+00:00,1603,338
2024-05-14 14:00:40.583612+00:00,705,5
2024-05-14 14:00:40.590612+00:00,596,21
2024-05-14 14:00:40.594972+00:00,450,39
2024-05-14 14:00:40.628572+00:00,4790,520
2024-05-14 14:00:40.630572+00:00,546,41
2024-05-14 14:00:40.837612+00:00,345,5
2024-05-14 14:00:41.964012+00:00,289,46
2024-05-14 14:00:42.003652+00:00,6810,3
2024-05-14 14:00:42.015092+00:00,748,432
2024-05-14 14:00:42.131652+00:00,2117,259
2024-05-14 14:00:42.136652+00:00,730,12
2024-05-14 14:00:46.078892+00:00,1852,3
2024-05-14 14:00:46.111972+00:00,574,16
2024-05-14 14:00:46.347932+00:00,2987,497
2024-05-14 14:00:46.453572+00:00,597,15
2024-05-14 14:00:46.473332+00:00,1300,56
2024-05-14 14:00:47.759612+00:00,2943,727
2024-05-14 14:00:47.854492+00:00,1570,50
2024-05-14 14:00:47.866172+00:00,2232,429
2024-05-14 14:00:47.870692+00:00,2266,244
2024-05-14 14:00:49.970052+00:00,570,33
2024-05-14 14:00:50.018172+00:00,560,25
2024-05-14 14:00:50.049372+00:00,326,49
2024-05-14 14:00:53.218972+00:00,796,213
2024-05-14 14:00:53.298572+00:00,325,49
2024-05-14 14:00:53.305172+00:00,1575,68
2024-05-14 14:00:53.322612+00:00,1993,3
2024-05-14 14:00:53.377412+00:00,1588,3
2024-05-14 14:00:53.406212+00:00,5265,41
2024-05-14 14:00:53.463972+00:00,2495,575
2024-05-14 14:00:53.509331999+00:00,3162,350
2024-05-14 14:00:54.067172+00:00,2184,475
2024-05-14 14:00:54.072452+00:00,494,45
2024-05-14 14:00:57.162052+00:00,597,8
2024-05-14 14:00:57.231212+00:00,1527,3
2024-05-14 14:00:57.566692+00:00,2063,222
2024-05-14 14:00:57.569052+00:00,640,43
2024-05-14 14:00:57.573372+00:00,596,21
2024-05-14 14:00:57.704052+00:00,548,16
2024-05-14 14:00:57.860652+00:00,249,45
2024-05-14 14:00:59.694452+00:00,4228,166
2024-05-14 14:00:59.949892+00:00,3412,615
2024-05-14 14:00:59.959972+00:00,1580,3
2024-05-14 14:01:01.736852+00:00,157,41
2024-05-14 14:01:01.764452+00:00,1837,3
2024-05-14 14:01:01.772012+00:00,652,50
2024-05-14 14:01:01.879772+00:00,630,36
2024-05-14 14:01:06.055092+00:00,3359,235
2024-05-14 14:01:06.064932+00:00,2137,11
2024-05-14 14:01:06.071372+00:00,941,10
2024-05-14 14:01:06.081772+00:00,1196,142
2024-05-14 14:01:06.148692+00:00,2019,358
2024-05-14 14:01:06.150732+00:00,2467,16
2024-05-14 14:01:06.161772+00:00,4554,53
2024-05-14 14:01:06.182892+00:00,731,60
2024-05-14 14:01:06.188172+00:00,428,8
2024-05-14 14:01:07.976012+00:00,251,49
2024-05-14 14:01:08.034532+00:00,340,38
2024-05-14 14:01:09.696692+00:00,568,29
2024-05-14 14:01:09.701092+00:00,552,19
2024-05-14 14:01:09.722692+00:00,172,76
2024-05-14 14:01:09.789772+00:00,1748,3
2024-05-14 14:01:09.799892+00:00,915,64
2024-05-14 14:01:09.906652+00:00,2173,389
2024-05-14 14:01:09.943012+00:00,3193,291
2024-05-14 14:01:09.949812+00:00,589,3
2024-05-14 14:01:11.526852+00:00,556,23
2024-05-14 14:01:11.550532+00:00,590,14
2024-05-14 14:01:16.107092+00:00,554,20
2024-05-14 14:01:16.116332+00:00,115,41
2024-05-14 14:01:16.194732+00:00,1581,3
2024-05-14 14:01:17.373172+00:00,481,61
2024-05-14 14:01:17.684692+00:00,2312,133
2024-05-14 14:01:17.840052+00:00,558,22
2024-05-14 14:01:17.853812+00:00,2198,107
