TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-14 14:00:00.001172+00:00,1661,80
2024-05-14 14:00:00.378559500+00:00,208,3
2024-05-14 14:00:00.392174500+00:00,419,9
2024-05-14 14:00:00.396339500+00:00,2115,50
2024-05-14 14:00:00.398247+00:00,53,53
2024-05-14 14:00:00.410759500+00:00,1840,11
2024-05-14 14:00:00.411057+00:00,2951,195
2024-05-14 14:00:00.864727+00:00,621,34
2024-05-14 14:00:00.885184500+00:00,262,42
2024-05-14 14:00:00.959437+00:00,617,36
2024-05-14 14:00:00.964477+00:00,2699,425
2024-05-14 14:00:02.630179500+00:00,2533,13
2024-05-14 14:00:02.647837+00:00,275,106
2024-05-14 14:00:02.699077+00:00,240,52
2024-05-14 14:00:02.702542+00:00,2049,180
2024-05-14 14:00:02.717399500+00:00,832,10
2024-05-14 14:00:02.720917+00:00,1358,450
2024-05-14 14:00:02.841282+00:00,234,55
2024-05-14 14:00:03.353034500+00:00,349,8
2024-05-14 14:00:03.438924500+00:00,1702,3
2024-05-14 14:00:04.447152+00:00,2747,370
2024-05-14 14:00:04.459367+00:00,5349,3
2024-05-14 14:00:04.462832+00:00,1834,17
2024-05-14 14:00:04.465807+00:00,3495,576
2024-05-14 14:00:04.467977+00:00,558,17
2024-05-14 14:00:04.528562+00:00,289,52
2024-05-14 14:00:04.543682+00:00,310,46
2024-05-14 14:00:04.550437+00:00,1865,3
2024-05-14 14:00:04.556019500+00:00,624,7
2024-05-14 14:00:04.559992+00:00,1510,3
2024-05-14 14:00:04.562809500+00:00,451,6
2024-05-14 14:00:04.582619500+00:00,5338,770
2024-05-14 14:00:04.583669500+00:00,1922,10
2024-05-14 14:00:04.590057+00:00,6394,20
2024-05-14 14:00:04.594904500+00:00,552,19
2024-05-14 14:00:04.597967+00:00,668,37
2024-05-14 14:00:04.606612+00:00,2105,112
2024-05-14 14:00:05.137789500+00:00,556,21
2024-05-14 14:00:05.252169499+00:00,2347,553
2024-05-14 14:00:05.257822+00:00,611,33
2024-05-14 14:00:05.265556999+00:00,142,127
2024-05-14 14:00:07.028857+00:00,548,19
2024-05-14 14:00:07.079344500+00:00,2773,208
2024-05-14 14:00:07.081602+00:00,596,27
2024-05-14 14:00:07.230912+00:00,1630,72
2024-05-14 14:00:07.747057+00:00,1822,3
2024-05-14 14:00:07.750504500+00:00,1235,200
