TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-14 14:00:00.001172+00:00,1661,80
2024-05-14 14:00:00.303082+00:00,208,3
2024-05-14 14:00:00.313974+00:00,419,9
2024-05-14 14:00:00.317306+00:00,2115,50
2024-05-14 14:00:00.318832+00:00,53,53
2024-05-14 14:00:00.328842+00:00,1840,11
2024-05-14 14:00:00.329080+00:00,2951,195
2024-05-14 14:00:00.692016+00:00,621,34
2024-05-14 14:00:00.708382+00:00,262,42
2024-05-14 14:00:00.767784+00:00,617,36
2024-05-14 14:00:00.771816+00:00,2699,425
2024-05-14 14:00:02.104378+00:00,2533,13
2024-05-14 14:00:02.118504+00:00,275,106
2024-05-14 14:00:02.159496+00:00,240,52
2024-05-14 14:00:02.162268+00:00,2049,180
2024-05-14 14:00:02.174154+00:00,832,10
2024-05-14 14:00:02.176968+00:00,1358,450
2024-05-14 14:00:02.273260+00:00,234,55
2024-05-14 14:00:02.682662+00:00,349,8
2024-05-14 14:00:02.751374+00:00,1702,3
2024-05-14 14:00:03.557956+00:00,2747,370
2024-05-14 14:00:03.567728+00:00,5349,3
2024-05-14 14:00:03.570500+00:00,1834,17
2024-05-14 14:00:03.572880+00:00,3495,576
2024-05-14 14:00:03.574616+00:00,558,17
2024-05-14 14:00:03.623084+00:00,289,52
2024-05-14 14:00:03.635180+00:00,310,46
2024-05-14 14:00:03.640584+00:00,1865,3
2024-05-14 14:00:03.645050+00:00,624,7
2024-05-14 14:00:03.648228+00:00,1510,3
2024-05-14 14:00:03.650482+00:00,451,6
2024-05-14 14:00:03.666330+00:00,5338,770
2024-05-14 14:00:03.667170+00:00,1922,10
2024-05-14 14:00:03.672280+00:00,6394,20
2024-05-14 14:00:03.676158+00:00,552,19
2024-05-14 14:00:03.678608+00:00,668,37
2024-05-14 14:00:03.685524+00:00,2105,112
2024-05-14 14:00:04.110466+00:00,556,21
2024-05-14 14:00:04.201970+00:00,2347,553
2024-05-14 14:00:04.206492+00:00,611,33
2024-05-14 14:00:04.212680+00:00,142,127
2024-05-14 14:00:05.623320+00:00,548,19
2024-05-14 14:00:05.663710+00:00,2773,208
2024-05-14 14:00:05.665516+00:00,596,27
2024-05-14 14:00:05.784964+00:00,1630,72
2024-05-14 14:00:06.197880+00:00,1822,3
2024-05-14 14:00:06.200638+00:00,1235,200
2024-05-14 14:00:06.205748+00:00,1338,51
2024-05-14 14:00:06.241994+00:00,2568,31
2024-05-14 14:00:07.027422+00:00,2468,250
2024-05-14 14:00:07.035836+00:00,244,54
2024-05-14 14:00:07.053056+00:00,377,8
2024-05-14 14:00:07.083338+00:00,115,45
2024-05-14 14:00:07.087510+00:00,1829,219
2024-05-14 14:00:07.093488+00:00,131,51
2024-05-14 14:00:07.095028+00:00,706,20
2024-05-14 14:00:07.626398+00:00,266,48
2024-05-14 14:00:07.626958+00:00,376,50
2024-05-14 14:00:07.669420+00:00,626,9
2024-05-14 14:00:09.092814+00:00,581,10
2024-05-14 14:00:09.113604+00:00,558,24
2024-05-14 14:00:09.121458+00:00,342,59
2024-05-14 14:00:09.123026+00:00,1173,3
2024-05-14 14:00:09.300644+00:00,1851,14
2024-05-14 14:00:09.303164+00:00,4565,397
2024-05-14 14:00:09.316492+00:00,5593,61
2024-05-14 14:00:09.325704+00:00,1822,402
2024-05-14 14:00:09.692658+00:00,554,18
2024-05-14 14:00:10.450660+00:00,1654,10
2024-05-14 14:00:10.457716+00:00,4138,74
2024-05-14 14:00:10.546714+00:00,2415,506
2024-05-14 14:00:10.550704+00:00,3780,598
2024-05-14 14:00:10.552454+00:00,2955,222
2024-05-14 14:00:10.565474+00:00,2221,62
2024-05-14 14:00:10.565712+00:00,404,42
2024-05-14 14:00:11.035762+00:00,558,19
2024-05-14 14:00:11.040144+00:00,752,51
2024-05-14 14:00:11.054382+00:00,554,20
2024-05-14 14:00:12.590210+00:00,427,39
2024-05-14 14:00:12.602978+00:00,2456,201
2024-05-14 14:00:12.782654+00:00,557,45
2024-05-14 14:00:12.801232+00:00,1928,318
2024-05-14 14:00:14.007640+00:00,2301,214
2024-05-14 14:00:14.010020+00:00,93,47
2024-05-14 14:00:14.022172+00:00,2827,19
2024-05-14 14:00:14.024468+00:00,1851,3
2024-05-14 14:00:14.029774+00:00,562,24
2024-05-14 14:00:14.032672+00:00,405,52
2024-05-14 14:00:14.155018+00:00,592,24
2024-05-14 14:00:14.200434+00:00,1603,338
2024-05-14 14:00:14.205026+00:00,705,5
2024-05-14 14:00:14.207476+00:00,596,21
2024-05-14 14:00:14.209002+00:00,450,39
2024-05-14 14:00:14.220762+00:00,4790,520
2024-05-14 14:00:14.221462+00:00,546,41
2024-05-14 14:00:14.293926+00:00,345,5
2024-05-14 14:00:14.688166+00:00,289,46
2024-05-14 14:00:14.702040+00:00,6810,3
2024-05-14 14:00:14.706044+00:00,748,432
2024-05-14 14:00:14.746840+00:00,2117,259
2024-05-14 14:00:14.748590+00:00,730,12
2024-05-14 14:00:16.128374+00:00,1852,3
2024-05-14 14:00:16.139952+00:00,574,16
2024-05-14 14:00:16.222538+00:00,2987,497
2024-05-14 14:00:16.259512+00:00,597,15
2024-05-14 14:00:16.266428+00:00,1300,56
2024-05-14 14:00:16.716626+00:00,2943,727
2024-05-14 14:00:16.749834+00:00,1570,50
2024-05-14 14:00:16.753922+00:00,2232,429
2024-05-14 14:00:16.755504+00:00,2266,244
2024-05-14 14:00:17.490280+00:00,570,33
2024-05-14 14:00:17.507122+00:00,560,25
2024-05-14 14:00:17.518042+00:00,326,49
2024-05-14 14:00:18.627402+00:00,796,213
2024-05-14 14:00:18.655262+00:00,325,49
2024-05-14 14:00:18.657572+00:00,1575,68
2024-05-14 14:00:18.663676+00:00,1993,3
2024-05-14 14:00:18.682856+00:00,1588,3
2024-05-14 14:00:18.692936+00:00,5265,41
2024-05-14 14:00:18.713152+00:00,2495,575
2024-05-14 14:00:18.729028+00:00,3162,350
2024-05-14 14:00:18.924272+00:00,2184,475
2024-05-14 14:00:18.926120+00:00,494,45
2024-05-14 14:00:20.007480+00:00,597,8
2024-05-14 14:00:20.031686+00:00,1527,3
2024-05-14 14:00:20.149104+00:00,2063,222
2024-05-14 14:00:20.149930+00:00,640,43
2024-05-14 14:00:20.151442+00:00,596,21
2024-05-14 14:00:20.197180+00:00,548,16
2024-05-14 14:00:20.251990+00:00,249,45
2024-05-14 14:00:20.893820+00:00,4228,166
2024-05-14 14:00:20.983224+00:00,3412,615
2024-05-14 14:00:20.986752+00:00,1580,3
2024-05-14 14:00:21.608660+00:00,157,41
2024-05-14 14:00:21.618320+00:00,1837,3
2024-05-14 14:00:21.620966+00:00,652,50
2024-05-14 14:00:21.658682+00:00,630,36
2024-05-14 14:00:23.120044+00:00,3359,235
2024-05-14 14:00:23.123488+00:00,2137,11
