TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-14 14:00:00.001172+00:00,1661,80
2024-05-14 14:00:00.270734500+00:00,208,3
2024-05-14 14:00:00.280459500+00:00,419,9
2024-05-14 14:00:00.283434500+00:00,2115,50
2024-05-14 14:00:00.284797+00:00,53,53
2024-05-14 14:00:00.293734500+00:00,1840,11
2024-05-14 14:00:00.293947+00:00,2951,195
2024-05-14 14:00:00.617997+00:00,621,34
2024-05-14 14:00:00.632609500+00:00,262,42
2024-05-14 14:00:00.685647+00:00,617,36
2024-05-14 14:00:00.689247+00:00,2699,425
2024-05-14 14:00:01.879034500+00:00,2533,13
2024-05-14 14:00:01.891647+00:00,275,106
2024-05-14 14:00:01.928247+00:00,240,52
2024-05-14 14:00:01.930722+00:00,2049,180
2024-05-14 14:00:01.941334500+00:00,832,10
2024-05-14 14:00:01.943847+00:00,1358,450
2024-05-14 14:00:02.029822+00:00,234,55
2024-05-14 14:00:02.395359500+00:00,349,8
2024-05-14 14:00:02.456709500+00:00,1702,3
2024-05-14 14:00:03.176872+00:00,2747,370
2024-05-14 14:00:03.185597+00:00,5349,3
2024-05-14 14:00:03.188072+00:00,1834,17
2024-05-14 14:00:03.190197+00:00,3495,576
2024-05-14 14:00:03.191747+00:00,558,17
2024-05-14 14:00:03.235022+00:00,289,52
2024-05-14 14:00:03.245822+00:00,310,46
2024-05-14 14:00:03.250647+00:00,1865,3
2024-05-14 14:00:03.254634499+00:00,624,7
2024-05-14 14:00:03.257471999+00:00,1510,3
2024-05-14 14:00:03.259484500+00:00,451,6
2024-05-14 14:00:03.273634500+00:00,5338,770
2024-05-14 14:00:03.274384500+00:00,1922,10
2024-05-14 14:00:03.278947+00:00,6394,20
2024-05-14 14:00:03.282409500+00:00,552,19
2024-05-14 14:00:03.284597+00:00,668,37
2024-05-14 14:00:03.290772+00:00,2105,112
2024-05-14 14:00:03.670184500+00:00,556,21
2024-05-14 14:00:03.751884500+00:00,2347,553
2024-05-14 14:00:03.755922+00:00,611,33
2024-05-14 14:00:03.761447+00:00,142,127
2024-05-14 14:00:05.020947+00:00,548,19
2024-05-14 14:00:05.057009500+00:00,2773,208
2024-05-14 14:00:05.058622+00:00,596,27
2024-05-14 14:00:05.165272+00:00,1630,72
2024-05-14 14:00:05.533947+00:00,1822,3
2024-05-14 14:00:05.536409500+00:00,1235,200
2024-05-14 14:00:05.540972+00:00,1338,51
2024-05-14 14:00:05.573334500+00:00,2568,31
2024-05-14 14:00:06.274609500+00:00,2468,250
2024-05-14 14:00:06.282122+00:00,244,54
2024-05-14 14:00:06.297497+00:00,377,8
2024-05-14 14:00:06.324534500+00:00,115,45
2024-05-14 14:00:06.328259500+00:00,1829,219
2024-05-14 14:00:06.333597+00:00,131,51
2024-05-14 14:00:06.334972+00:00,706,20
2024-05-14 14:00:06.809409500+00:00,266,48
2024-05-14 14:00:06.809909500+00:00,376,50
2024-05-14 14:00:06.847822+00:00,626,9
2024-05-14 14:00:08.118709500+00:00,581,10
2024-05-14 14:00:08.137272+00:00,558,24
2024-05-14 14:00:08.144284500+00:00,342,59
2024-05-14 14:00:08.145684500+00:00,1173,3
2024-05-14 14:00:08.304272+00:00,1851,14
2024-05-14 14:00:08.306522+00:00,4565,397
2024-05-14 14:00:08.318422+00:00,5593,61
2024-05-14 14:00:08.326647+00:00,1822,402
2024-05-14 14:00:08.654284500+00:00,554,18
2024-05-14 14:00:09.331072+00:00,1654,10
2024-05-14 14:00:09.337372+00:00,4138,74
2024-05-14 14:00:09.416834500+00:00,2415,506
2024-05-14 14:00:09.420397+00:00,3780,598
2024-05-14 14:00:09.421959500+00:00,2955,222
2024-05-14 14:00:09.433584500+00:00,2221,62
2024-05-14 14:00:09.433797+00:00,404,42
2024-05-14 14:00:09.853484500+00:00,558,19
2024-05-14 14:00:09.857397+00:00,752,51
2024-05-14 14:00:09.870109500+00:00,554,20
2024-05-14 14:00:11.241384500+00:00,427,39
2024-05-14 14:00:11.252784500+00:00,2456,201
2024-05-14 14:00:11.413209500+00:00,557,45
2024-05-14 14:00:11.429797+00:00,1928,318
2024-05-14 14:00:12.506947+00:00,2301,214
2024-05-14 14:00:12.509072+00:00,93,47
2024-05-14 14:00:12.519922+00:00,2827,19
2024-05-14 14:00:12.521972+00:00,1851,3
2024-05-14 14:00:12.526709500+00:00,562,24
2024-05-14 14:00:12.529296999+00:00,405,52
2024-05-14 14:00:12.638534500+00:00,592,24
2024-05-14 14:00:12.679084500+00:00,1603,338
2024-05-14 14:00:12.683184500+00:00,705,5
2024-05-14 14:00:12.685372+00:00,596,21
2024-05-14 14:00:12.686734500+00:00,450,39
2024-05-14 14:00:12.697234500+00:00,4790,520
2024-05-14 14:00:12.697859500+00:00,546,41
2024-05-14 14:00:12.762559500+00:00,345,5
2024-05-14 14:00:13.114559500+00:00,289,46
2024-05-14 14:00:13.126947+00:00,6810,3
2024-05-14 14:00:13.130522+00:00,748,432
2024-05-14 14:00:13.166947+00:00,2117,259
2024-05-14 14:00:13.168509500+00:00,730,12
2024-05-14 14:00:14.400459500+00:00,1852,3
2024-05-14 14:00:14.410797+00:00,574,16
2024-05-14 14:00:14.484534500+00:00,2987,497
2024-05-14 14:00:14.517547+00:00,597,15
2024-05-14 14:00:14.523721999+00:00,1300,56
2024-05-14 14:00:14.925684500+00:00,2943,727
2024-05-14 14:00:14.955334500+00:00,1570,50
2024-05-14 14:00:14.958984500+00:00,2232,429
2024-05-14 14:00:14.960397+00:00,2266,244
2024-05-14 14:00:15.616447+00:00,570,33
2024-05-14 14:00:15.631484500+00:00,560,25
2024-05-14 14:00:15.641234500+00:00,326,49
2024-05-14 14:00:16.631734500+00:00,796,213
2024-05-14 14:00:16.656609500+00:00,325,49
2024-05-14 14:00:16.658672+00:00,1575,68
2024-05-14 14:00:16.664122+00:00,1993,3
2024-05-14 14:00:16.681247+00:00,1588,3
2024-05-14 14:00:16.690247+00:00,5265,41
2024-05-14 14:00:16.708297+00:00,2495,575
2024-05-14 14:00:16.722472+00:00,3162,350
2024-05-14 14:00:16.896797+00:00,2184,475
2024-05-14 14:00:16.898447+00:00,494,45
2024-05-14 14:00:17.863947+00:00,597,8
2024-05-14 14:00:17.885559500+00:00,1527,3
2024-05-14 14:00:17.990397+00:00,2063,222
2024-05-14 14:00:17.991134500+00:00,640,43
2024-05-14 14:00:17.992484500+00:00,596,21
2024-05-14 14:00:18.033321999+00:00,548,16
2024-05-14 14:00:18.082259500+00:00,249,45
2024-05-14 14:00:18.655322+00:00,4228,166
2024-05-14 14:00:18.735147+00:00,3412,615
2024-05-14 14:00:18.738297+00:00,1580,3
2024-05-14 14:00:19.293572+00:00,157,41
2024-05-14 14:00:19.302197+00:00,1837,3
2024-05-14 14:00:19.304559500+00:00,652,50
2024-05-14 14:00:19.338234500+00:00,630,36
2024-05-14 14:00:20.643022+00:00,3359,235
2024-05-14 14:00:20.646097+00:00,2137,11
2024-05-14 14:00:20.648109500+00:00,941,10
2024-05-14 14:00:20.651359500+00:00,1196,142
2024-05-14 14:00:20.672272+00:00,2019,358
2024-05-14 14:00:20.672909500+00:00,2467,16
2024-05-14 14:00:20.676359500+00:00,4554,53
2024-05-14 14:00:20.682959500+00:00,731,60
2024-05-14 14:00:20.684609500+00:00,428,8
2024-05-14 14:00:21.243309500+00:00,251,49
2024-05-14 14:00:21.261597+00:00,340,38
2024-05-14 14:00:21.781022+00:00,568,29
2024-05-14 14:00:21.782397+00:00,552,19
2024-05-14 14:00:21.789147+00:00,172,76
2024-05-14 14:00:21.810109500+00:00,1748,3
2024-05-14 14:00:21.813272+00:00,915,64
2024-05-14 14:00:21.846634500+00:00,2173,389
2024-05-14 14:00:21.857997+00:00,3193,291
2024-05-14 14:00:21.860122+00:00,589,3
2024-05-14 14:00:22.352947+00:00,556,23
2024-05-14 14:00:22.360347+00:00,590,14
2024-05-14 14:00:23.784272+00:00,554,20
2024-05-14 14:00:23.787159500+00:00,115,41
2024-05-14 14:00:23.811659500+00:00,1581,3
2024-05-14 14:00:24.179922+00:00,481,61
2024-05-14 14:00:24.277272+00:00,2312,133
2024-05-14 14:00:24.325822+00:00,558,22
2024-05-14 14:00:24.330122+00:00,2198,107
2024-05-14 14:00:24.348434500+00:00,7785,11
2024-05-14 14:00:24.924784500+00:00,552,11
2024-05-14 14:00:24.927047+00:00,581,44
2024-05-14 14:00:24.932434500+00:00,2678,257
2024-05-14 14:00:24.954672+00:00,1501,53
