TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-14 14:00:01.447659+00:00,249,45
2024-05-14 14:00:01.493504+00:00,4228,166
2024-05-14 14:00:01.499890+00:00,3412,615
2024-05-14 14:00:01.500142+00:00,1580,3
2024-05-14 14:00:01.544564+00:00,157,41
2024-05-14 14:00:01.545254+00:00,1837,3
2024-05-14 14:00:01.545443+00:00,652,50
2024-05-14 14:00:01.548137+00:00,630,36
2024-05-14 14:00:01.652520+00:00,3359,235
2024-05-14 14:00:01.652766+00:00,2137,11
2024-05-14 14:00:01.652927+00:00,941,10
2024-05-14 14:00:01.653187+00:00,1196,142
2024-05-14 14:00:01.654860+00:00,2019,358
2024-05-14 14:00:01.654911+00:00,2467,16
2024-05-14 14:00:01.655187+00:00,4554,53
2024-05-14 14:00:01.655715+00:00,731,60
2024-05-14 14:00:01.655847+00:00,428,8
2024-05-14 14:00:01.700543+00:00,251,49
2024-05-14 14:00:01.702006+00:00,340,38
2024-05-14 14:00:01.743560+00:00,568,29
2024-05-14 14:00:01.743670+00:00,552,19
2024-05-14 14:00:01.744210+00:00,172,76
2024-05-14 14:00:01.745887+00:00,1748,3
2024-05-14 14:00:01.746140+00:00,915,64
2024-05-14 14:00:01.748809+00:00,2173,389
2024-05-14 14:00:01.749718+00:00,3193,291
2024-05-14 14:00:01.749888+00:00,589,3
2024-05-14 14:00:01.789314+00:00,556,23
2024-05-14 14:00:01.789906+00:00,590,14
2024-05-14 14:00:01.903820+00:00,554,20
2024-05-14 14:00:01.904051+00:00,115,41
2024-05-14 14:00:01.906011+00:00,1581,3
2024-05-14 14:00:01.935472+00:00,481,61
2024-05-14 14:00:01.943260+00:00,2312,133
2024-05-14 14:00:01.947144+00:00,558,22
2024-05-14 14:00:01.947488+00:00,2198,107
2024-05-14 14:00:01.948953+00:00,7785,11
2024-05-14 14:00:01.995061+00:00,552,11
2024-05-14 14:00:01.995242+00:00,581,44
2024-05-14 14:00:01.995673+00:00,2678,257
2024-05-14 14:00:01.997452+00:00,1501,53
2024-05-14 14:00:02.010435+00:00,4745,605
2024-05-14 14:00:02.045782+00:00,2033,432
2024-05-14 14:00:02.045841+00:00,272,46
2024-05-14 14:00:02.045964+00:00,4532,3
2024-05-14 14:00:02.046580+00:00,608,11
2024-05-14 14:00:02.049154+00:00,318,41
2024-05-14 14:00:02.049319+00:00,4084,379
2024-05-14 14:00:02.049456+00:00,2771,236
2024-05-14 14:00:02.049985+00:00,1008,66
2024-05-14 14:00:02.172104+00:00,1281,3
2024-05-14 14:00:02.172531+00:00,2506,14
2024-05-14 14:00:02.175189+00:00,629,66
2024-05-14 14:00:02.175320+00:00,554,20
2024-05-14 14:00:02.175713+00:00,2258,3
2024-05-14 14:00:02.175944+00:00,1498,60
2024-05-14 14:00:02.176066+00:00,282,33
2024-05-14 14:00:02.192961+00:00,558,41
2024-05-14 14:00:02.194533+00:00,2166,132
2024-05-14 14:00:02.195017+00:00,183,108
2024-05-14 14:00:02.200162+00:00,167,46
2024-05-14 14:00:02.251066+00:00,622,45
2024-05-14 14:00:02.251411+00:00,2022,20
2024-05-14 14:00:02.251591+00:00,594,22
2024-05-14 14:00:02.293727+00:00,99,58
2024-05-14 14:00:02.297361+00:00,1815,14
2024-05-14 14:00:02.297739+00:00,726,149
2024-05-14 14:00:02.297889+00:00,2319,395
2024-05-14 14:00:02.298201+00:00,4451,55
2024-05-14 14:00:02.398625+00:00,5531,20
2024-05-14 14:00:02.398955+00:00,5356,580
2024-05-14 14:00:02.399264+00:00,584,20
2024-05-14 14:00:02.400368+00:00,393,48
2024-05-14 14:00:02.400417+00:00,738,21
2024-05-14 14:00:02.425640+00:00,442,53
2024-05-14 14:00:02.425656+00:00,558,14
2024-05-14 14:00:02.425844+00:00,2052,13
2024-05-14 14:00:02.426030+00:00,552,20
2024-05-14 14:00:02.430225+00:00,1891,92
2024-05-14 14:00:02.450639+00:00,861,161
2024-05-14 14:00:02.450936+00:00,594,41
2024-05-14 14:00:02.452670+00:00,3201,13
2024-05-14 14:00:02.494029+00:00,640,6
2024-05-14 14:00:02.509807+00:00,4770,3
2024-05-14 14:00:02.534363+00:00,3761,3
2024-05-14 14:00:02.535320+00:00,134,47
2024-05-14 14:00:02.542343+00:00,701,289
2024-05-14 14:00:02.543305+00:00,104,38
2024-05-14 14:00:02.543780+00:00,5303,56
2024-05-14 14:00:02.654611+00:00,605,16
2024-05-14 14:00:02.654849+00:00,2229,60
2024-05-14 14:00:02.655394+00:00,3362,356
2024-05-14 14:00:02.655434+00:00,146,60
2024-05-14 14:00:02.656851+00:00,615,23
2024-05-14 14:00:02.657289+00:00,3364,410
2024-05-14 14:00:02.657620+00:00,457,88
2024-05-14 14:00:02.658502+00:00,254,43
2024-05-14 14:00:02.671985+00:00,1096,142
2024-05-14 14:00:02.673277+00:00,584,18
2024-05-14 14:00:02.673497+00:00,378,32
2024-05-14 14:00:02.742888+00:00,577,31
2024-05-14 14:00:02.743162+00:00,605,32
2024-05-14 14:00:02.743278+00:00,227,141
2024-05-14 14:00:02.745190+00:00,6671,20
2024-05-14 14:00:02.750720+00:00,371,48
2024-05-14 14:00:02.751218+00:00,2084,517
2024-05-14 14:00:02.752419+00:00,605,3
2024-05-14 14:00:02.752676+00:00,2263,441
2024-05-14 14:00:02.793939+00:00,1613,45
2024-05-14 14:00:02.794058+00:00,556,21
2024-05-14 14:00:02.794668+00:00,208,30
2024-05-14 14:00:02.796811+00:00,356,9
2024-05-14 14:00:02.797643+00:00,4609,518
2024-05-14 14:00:02.930873+00:00,96,39
2024-05-14 14:00:02.931015+00:00,3422,3
2024-05-14 14:00:02.934835+00:00,2205,3
2024-05-14 14:00:02.949103+00:00,601,18
2024-05-14 14:00:02.949222+00:00,1911,3
2024-05-14 14:00:02.949769+00:00,2843,73
2024-05-14 14:00:02.994596+00:00,5078,793
2024-05-14 14:00:02.994730+00:00,3145,13
2024-05-14 14:00:02.998304+00:00,2360,14
2024-05-14 14:00:02.999430+00:00,3852,36
2024-05-14 14:00:03.006152+00:00,1750,10
2024-05-14 14:00:03.006606+00:00,3421,420
2024-05-14 14:00:03.006677+00:00,554,20
2024-05-14 14:00:03.006843+00:00,2880,42
2024-05-14 14:00:03.049194+00:00,719,88
2024-05-14 14:00:03.050297+00:00,3330,265
2024-05-14 14:00:03.050567+00:00,1167,3
2024-05-14 14:00:03.053656+00:00,712,100
2024-05-14 14:00:03.154746+00:00,2848,355
2024-05-14 14:00:03.168239+00:00,2056,12
2024-05-14 14:00:03.169562+00:00,2353,381
2024-05-14 14:00:03.169696+00:00,2721,469
2024-05-14 14:00:03.169922+00:00,5175,376
2024-05-14 14:00:03.169981+00:00,3263,47
2024-05-14 14:00:03.170295+00:00,182,48
2024-05-14 14:00:03.182446+00:00,1438,529
2024-05-14 14:00:03.182582+00:00,7005,19
2024-05-14 14:00:03.182690+00:00,2043,14
2024-05-14 14:00:03.183079+00:00,475,49
2024-05-14 14:00:03.183262+00:00,1859,349
2024-05-14 14:00:03.183531+00:00,2721,21
2024-05-14 14:00:03.183818+00:00,1864,312
2024-05-14 14:00:03.198011+00:00,2567,3
2024-05-14 14:00:03.198327+00:00,612,20
2024-05-14 14:00:03.249761+00:00,552,19
2024-05-14 14:00:03.249871+00:00,1442,3
2024-05-14 14:00:03.249921+00:00,2363,316
2024-05-14 14:00:03.250084+00:00,2366,14
2024-05-14 14:00:03.252583+00:00,2121,15
2024-05-14 14:00:03.253033+00:00,1678,349
2024-05-14 14:00:03.253184+00:00,1540,3
2024-05-14 14:00:03.254091+00:00,3907,34
2024-05-14 14:00:03.292544+00:00,2343,564
2024-05-14 14:00:03.292689+00:00,211,3
2024-05-14 14:00:03.295805+00:00,597,13
2024-05-14 14:00:03.396706+00:00,290,57
2024-05-14 14:00:03.418882+00:00,1355,14
2024-05-14 14:00:03.448933+00:00,1285,10
2024-05-14 14:00:03.450207+00:00,5601,20
2024-05-14 14:00:03.494607+00:00,2110,11
2024-05-14 14:00:03.495333+00:00,536,59
2024-05-14 14:00:03.495702+00:00,615,27
2024-05-14 14:00:03.505702+00:00,2605,355
2024-05-14 14:00:03.506178+00:00,1913,11
2024-05-14 14:00:03.508606+00:00,395,62
2024-05-14 14:00:03.508796+00:00,759,43
2024-05-14 14:00:03.650534+00:00,3434,21
2024-05-14 14:00:03.650780+00:00,1940,105
2024-05-14 14:00:03.652198+00:00,795,19
2024-05-14 14:00:03.697915+00:00,372,35
2024-05-14 14:00:03.698667+00:00,3924,41
2024-05-14 14:00:03.749690+00:00,4011,224
2024-05-14 14:00:03.749820+00:00,5856,23
2024-05-14 14:00:03.749936+00:00,7621,20
2024-05-14 14:00:03.751989+00:00,301,136
2024-05-14 14:00:03.753103+00:00,351,53
2024-05-14 14:00:03.753162+00:00,385,39
2024-05-14 14:00:03.753422+00:00,2039,160
2024-05-14 14:00:03.755018+00:00,312,54
2024-05-14 14:00:03.755141+00:00,556,20
2024-05-14 14:00:03.755966+00:00,2021,533
2024-05-14 14:00:03.756016+00:00,1911,12
2024-05-14 14:00:03.756220+00:00,436,73
2024-05-14 14:00:03.757276+00:00,1227,3
2024-05-14 14:00:03.757503+00:00,1786,11
2024-05-14 14:00:03.757961+00:00,554,12
2024-05-14 14:00:03.758148+00:00,243,150
2024-05-14 14:00:03.847901+00:00,4336,3
2024-05-14 14:00:03.848400+00:00,1388,3
2024-05-14 14:00:03.868468+00:00,427,93
2024-05-14 14:00:03.877111+00:00,3618,3
2024-05-14 14:00:03.902250+00:00,960,6
2024-05-14 14:00:03.926682+00:00,2130,519
2024-05-14 14:00:03.927040+00:00,3320,3
2024-05-14 14:00:03.927272+00:00,314,39
2024-05-14 14:00:03.931004+00:00,407,46
2024-05-14 14:00:03.950060+00:00,3196,435
2024-05-14 14:00:03.950901+00:00,240,155
2024-05-14 14:00:03.954483+00:00,490,61
2024-05-14 14:00:03.954782+00:00,631,34
2024-05-14 14:00:03.994472+00:00,1324,18
2024-05-14 14:00:03.997384+00:00,407,75
2024-05-14 14:00:03.997812+00:00,1082,43
2024-05-14 14:00:04.000358+00:00,877,3
2024-05-14 14:00:04.000935+00:00,108,58
2024-05-14 14:00:04.002728+00:00,3666,694
2024-05-14 14:00:04.002831+00:00,316,14
2024-05-14 14:00:04.051681+00:00,2151,368
2024-05-14 14:00:04.159301+00:00,2195,28
2024-05-14 14:00:04.160792+00:00,2388,538
2024-05-14 14:00:04.165336+00:00,1304,42
2024-05-14 14:00:04.165620+00:00,517,53
2024-05-14 14:00:04.197644+00:00,415,55
2024-05-14 14:00:04.199683+00:00,2707,57
2024-05-14 14:00:04.199786+00:00,3004,330
2024-05-14 14:00:04.246393+00:00,564,23
2024-05-14 14:00:04.246966+00:00,594,3
2024-05-14 14:00:04.249566+00:00,599,17
2024-05-14 14:00:04.249937+00:00,1907,452
2024-05-14 14:00:04.251534+00:00,599,61
2024-05-14 14:00:04.251817+00:00,731,10
2024-05-14 14:00:04.260129+00:00,204,3
2024-05-14 14:00:04.299532+00:00,2760,242
2024-05-14 14:00:04.399476+00:00,2052,189
2024-05-14 14:00:04.401903+00:00,2785,454
2024-05-14 14:00:04.419312+00:00,2161,429
2024-05-14 14:00:04.419364+00:00,4808,53
2024-05-14 14:00:04.419612+00:00,312,55
2024-05-14 14:00:04.420907+00:00,408,11
2024-05-14 14:00:04.421140+00:00,566,15
2024-05-14 14:00:04.450023+00:00,511,44
2024-05-14 14:00:04.494127+00:00,243,3
2024-05-14 14:00:04.497353+00:00,532,59
2024-05-14 14:00:04.497798+00:00,1809,9
2024-05-14 14:00:04.499770+00:00,564,17
2024-05-14 14:00:04.499944+00:00,280,45
2024-05-14 14:00:04.546854+00:00,110,8
2024-05-14 14:00:04.548884+00:00,512,48
2024-05-14 14:00:04.549057+00:00,1208,20
2024-05-14 14:00:04.553869+00:00,1912,51
2024-05-14 14:00:04.554240+00:00,4098,16
2024-05-14 14:00:04.559829+00:00,281,53
2024-05-14 14:00:04.559845+00:00,597,7
2024-05-14 14:00:04.648968+00:00,6748,433
2024-05-14 14:00:04.649859+00:00,1270,435
2024-05-14 14:00:04.650048+00:00,1085,73
2024-05-14 14:00:04.650099+00:00,796,107
2024-05-14 14:00:04.652194+00:00,649,54
2024-05-14 14:00:04.652457+00:00,6267,22
2024-05-14 14:00:04.698982+00:00,351,50
2024-05-14 14:00:04.732325+00:00,1784,12
2024-05-14 14:00:04.744820+00:00,1444,3
2024-05-14 14:00:04.745353+00:00,1697,8
2024-05-14 14:00:04.745671+00:00,415,47
2024-05-14 14:00:04.748097+00:00,428,41
2024-05-14 14:00:04.750775+00:00,2501,222
2024-05-14 14:00:04.750887+00:00,618,35
2024-05-14 14:00:04.751456+00:00,2805,403
2024-05-14 14:00:04.760327+00:00,829,61
2024-05-14 14:00:04.760812+00:00,1949,14
2024-05-14 14:00:04.791718+00:00,181,53
2024-05-14 14:00:04.792362+00:00,665,33
2024-05-14 14:00:04.792944+00:00,1474,3
2024-05-14 14:00:04.800206+00:00,2356,230
2024-05-14 14:00:04.801746+00:00,311,49
2024-05-14 14:00:04.802078+00:00,384,13
2024-05-14 14:00:04.803685+00:00,3150,426
2024-05-14 14:00:04.901009+00:00,1864,3
2024-05-14 14:00:04.901794+00:00,606,35
2024-05-14 14:00:04.903780+00:00,2006,13
2024-05-14 14:00:04.904693+00:00,605,19
2024-05-14 14:00:04.947794+00:00,4952,228
2024-05-14 14:00:04.951562+00:00,619,8
2024-05-14 14:00:04.999162+00:00,3079,171
2024-05-14 14:00:05.000666+00:00,1545,131
2024-05-14 14:00:05.001354+00:00,151,96
2024-05-14 14:00:05.001893+00:00,461,6
2024-05-14 14:00:05.003060+00:00,1489,149
2024-05-14 14:00:05.009581+00:00,938,15
2024-05-14 14:00:05.041537+00:00,550,18
2024-05-14 14:00:05.041767+00:00,584,18
2024-05-14 14:00:05.042117+00:00,2879,413
2024-05-14 14:00:05.044197+00:00,1104,21
2024-05-14 14:00:05.152045+00:00,560,21
2024-05-14 14:00:05.152230+00:00,2832,209
2024-05-14 14:00:05.152281+00:00,1291,3
2024-05-14 14:00:05.152723+00:00,1706,13
2024-05-14 14:00:05.154407+00:00,1833,325
2024-05-14 14:00:05.169736+00:00,1698,10
2024-05-14 14:00:05.247508+00:00,1798,3
2024-05-14 14:00:05.248717+00:00,603,19
2024-05-14 14:00:05.249966+00:00,580,33
2024-05-14 14:00:05.253779+00:00,2169,3
2024-05-14 14:00:05.254317+00:00,2421,3
2024-05-14 14:00:05.259260+00:00,5709,17
2024-05-14 14:00:05.259442+00:00,2051,196
2024-05-14 14:00:05.266159+00:00,5288,3
2024-05-14 14:00:05.266535+00:00,394,48
2024-05-14 14:00:05.266645+00:00,509,35
2024-05-14 14:00:05.291557+00:00,221,50
2024-05-14 14:00:05.400155+00:00,4182,3
2024-05-14 14:00:05.400342+00:00,285,42
2024-05-14 14:00:05.400809+00:00,220,32
2024-05-14 14:00:05.401182+00:00,1654,383
2024-05-14 14:00:05.403493+00:00,429,52
2024-05-14 14:00:05.403701+00:00,342,41
2024-05-14 14:00:05.403895+00:00,631,31
2024-05-14 14:00:05.429225+00:00,182,33
2024-05-14 14:00:05.429275+00:00,7934,20
2024-05-14 14:00:05.430690+00:00,416,37
2024-05-14 14:00:05.430813+00:00,372,8
2024-05-14 14:00:05.439210+00:00,3938,337
2024-05-14 14:00:05.439787+00:00,522,51
2024-05-14 14:00:05.456307+00:00,1863,13
2024-05-14 14:00:05.456624+00:00,239,56
2024-05-14 14:00:05.456901+00:00,356,58
2024-05-14 14:00:05.496599+00:00,2485,642
2024-05-14 14:00:05.496650+00:00,2158,11
2024-05-14 14:00:05.499533+00:00,1728,297
2024-05-14 14:00:05.500417+00:00,548,17
2024-05-14 14:00:05.500612+00:00,2526,329
2024-05-14 14:00:05.500843+00:00,1786,398
2024-05-14 14:00:05.501147+00:00,683,113
2024-05-14 14:00:05.501777+00:00,1799,10
2024-05-14 14:00:05.502595+00:00,597,8
2024-05-14 14:00:05.502769+00:00,547,70
2024-05-14 14:00:05.542831+00:00,250,42
2024-05-14 14:00:05.543754+00:00,170,47
2024-05-14 14:00:05.543862+00:00,373,41
2024-05-14 14:00:05.546393+00:00,843,12
2024-05-14 14:00:05.546975+00:00,148,40
2024-05-14 14:00:05.651214+00:00,2174,95
2024-05-14 14:00:05.674067+00:00,595,18
2024-05-14 14:00:05.674252+00:00,598,27
2024-05-14 14:00:05.674451+00:00,1747,96
2024-05-14 14:00:05.675703+00:00,2674,270
2024-05-14 14:00:05.675818+00:00,1257,3
2024-05-14 14:00:05.676071+00:00,812,12
2024-05-14 14:00:05.744900+00:00,313,181
2024-05-14 14:00:05.746602+00:00,7622,115
2024-05-14 14:00:05.746944+00:00,2316,352
2024-05-14 14:00:05.749934+00:00,1449,14
2024-05-14 14:00:05.750995+00:00,651,78
2024-05-14 14:00:05.751244+00:00,204,58
2024-05-14 14:00:05.752567+00:00,538,66
2024-05-14 14:00:05.794813+00:00,3796,52
2024-05-14 14:00:05.795347+00:00,562,10
2024-05-14 14:00:05.797004+00:00,190,41
2024-05-14 14:00:05.919153+00:00,2128,56
2024-05-14 14:00:05.919406+00:00,172,88
2024-05-14 14:00:05.921750+00:00,5116,19
2024-05-14 14:00:05.929177+00:00,380,48
2024-05-14 14:00:05.950630+00:00,156,51
2024-05-14 14:00:05.951087+00:00,2151,202
2024-05-14 14:00:05.993285+00:00,1930,3
2024-05-14 14:00:05.993675+00:00,2933,268
2024-05-14 14:00:05.993843+00:00,2800,512
2024-05-14 14:00:05.993884+00:00,2304,419
2024-05-14 14:00:05.993935+00:00,461,47
2024-05-14 14:00:06.043922+00:00,831,7
2024-05-14 14:00:06.044084+00:00,747,516
2024-05-14 14:00:06.044318+00:00,552,11
2024-05-14 14:00:06.045871+00:00,710,47
2024-05-14 14:00:06.046034+00:00,552,11
2024-05-14 14:00:06.156073+00:00,4410,33
2024-05-14 14:00:06.157114+00:00,317,49
2024-05-14 14:00:06.165765+00:00,2110,223
2024-05-14 14:00:06.166657+00:00,1772,13
2024-05-14 14:00:06.204211+00:00,4457,41
2024-05-14 14:00:06.205286+00:00,584,18
2024-05-14 14:00:06.243185+00:00,5803,20
2024-05-14 14:00:06.244826+00:00,342,52
2024-05-14 14:00:06.245230+00:00,635,14
2024-05-14 14:00:06.248531+00:00,6285,135
2024-05-14 14:00:06.249001+00:00,6375,99
2024-05-14 14:00:06.254163+00:00,6582,378
2024-05-14 14:00:06.254457+00:00,3558,9
2024-05-14 14:00:06.254618+00:00,603,19
2024-05-14 14:00:06.289802+00:00,592,22
2024-05-14 14:00:06.409323+00:00,2504,288
2024-05-14 14:00:06.409589+00:00,2106,3
2024-05-14 14:00:06.410026+00:00,447,37
