torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8
702.006039,892.668199,673.918184,864.330229,163.522875,218.924042,158.480172,213.839081,97.8999229,147.384199,95.9952827,147.173174,399.415289,584.801019,378.647709,569.587895
1385.356,1771.37286,1311.71314,1701.29735,319.212841,424.539146,302.763879,414.643695,191.489594,284.277987,181.990412,284.082647,793.7654,1131.25184,757.790358,1097.69688
2579.84302,3224.14465,2413.94625,3121.89927,602.767465,807.715018,561.853488,765.788702,353.127153,545.375482,332.527188,528.574508,1494.67204,2087.76812,1397.56228,1964.1464
4208.55242,5193.90012,3862.80841,5112.78552,934.20364,1289.57842,873.915398,1223.40849,555.40848,854.692132,511.913116,829.684874,2450.62819,3363.86282,2355.49822,3204.31444
5674.79248,7747.14372,5345.07186,7556.80268,1196.39502,1694.58174,1172.45855,1719.04516,654.840914,1002.28597,659.58676,1071.1379,3210.96784,4423.8838,3363.7562,4560.28636
