torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8
3745.92286,4650.40923,3584.10756,4418.99261,2481.14983,3204.14053,2404.03218,3188.64706,1504.96166,2231.67644,1483.93303,2232.22624,2093.11135,3064.09541,2095.87837,2991.19523
6733.8526,8381.70984,6286.52118,7892.36759,4512.14602,5773.78065,4276.36788,5641.52354,2794.31294,4022.66614,2670.88873,4040.91141,3869.51242,5445.63265,3805.41379,5220.70962
11127.9293,13465.9913,10552.7381,12638.5639,7572.68297,9399.01152,7136.78634,9184.80779,4770.49152,6893.24817,4557.10967,6716.02234,6801.05795,8857.0842,6488.99582,8436.47399
16375.3968,18866.9638,15354.4167,18293.6116,10790.5361,13406.6273,10297.2861,13105.3502,7091.52379,10067.0992,6859.07973,9872.05038,9919.68228,12819.1406,9660.05803,12028.6969
19482.0794,23248.7502,19300.922,23107.6827,13036.271,16371.7278,13250.7695,16397.2333,6410.57572,11541.3153,6520.48058,9636.9986,10339.1173,14418.5893,10505.5251,13136.7516
