torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8
3174.89751,3968.29395,3025.65891,3879.16324,1432.93775,1882.97593,1367.45882,1862.06205,861.699177,1268.41115,839.183231,1297.17241,1924.03118,2474.88487,1853.56172,2513.01798
5616.20466,6822.99807,5320.62757,6699.49539,2684.51119,3447.79881,2536.65719,3398.49598,1640.77707,2389.05773,1574.35047,2411.954,3462.93689,4390.1175,3291.62813,4388.82996
9360.03122,11193.6279,8934.72647,10907.5736,4751.13302,5995.56446,4490.82269,5860.1161,2960.52916,4300.53591,2824.41584,4242.2749,5710.32815,7202.09629,5472.06286,7071.45285
13717.3259,15989.3142,12939.5135,16012.2408,7283.53983,9211.14413,6953.04942,9053.65008,4747.86188,6763.85979,4463.40552,6753.53419,8388.45634,10526.0871,8235.51243,10291.9228
16918.1076,20483.951,16711.7989,20246.0484,9520.88236,12130.0928,9392.70631,12258.4025,5319.922,8512.36233,5244.43137,8042.69577,9187.10849,12886.3108,9350.33335,11576.2759
