torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8,torch_fp16,torch_fp8,dualfp_fp16,dualfp_fp8
2579.604,3279.35055,2508.60346,3180.71217,1319.50327,1752.94311,1269.388,1717.61159,791.416308,1183.48674,774.208348,1185.83381,1603.51055,2290.68378,1527.84571,2249.59245
4624.70265,5840.93733,4387.90874,5641.03147,2558.61705,3354.72605,2431.7327,3289.10213,1541.16195,2254.82583,1459.98692,2282.17594,2968.47363,4089.11008,2849.80062,4037.5701
8033.43016,9852.02835,7570.6225,9522.72617,4668.31716,6093.3017,4382.31705,5828.94832,2813.23582,4202.51146,2677.56219,4136.27138,5176.94049,6882.29017,4869.39878,6662.3512
12521.4255,14858.0236,11629.8227,14679.4209,7507.69221,9824.16881,7059.08324,9415.16151,4632.63092,6841.47277,4385.9477,6697.51243,8252.35136,10731.7593,7756.3886,10228.517
16860.5585,20593.287,16124.3426,19821.6846,10090.7314,13340.9041,9960.32553,13305.9399,5962.38794,8720.84381,6076.19365,9287.05575,10754.4162,13722.4187,10904.2353,13813.8029
